Domestic Release Date,Worldwide Release Date,Year Released (Domestic),Year Released (Worldwide),Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Opening Weekend Theaters,Maximum Theaters,Theatrical Engagements,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office
15-Feb-85,15-Feb-85,1985,1985,The Breakfast Club,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"1,071","1,118","10,099","$5,107,599 ","$45,875,171 ","$117,724,731 ","$6,583 ","$45,881,754 "
8-Mar-85,8-Mar-85,1985,1985,Mask,Universal,Drama,Based on Real Life Events,Live Action,Dramatization,$0 ,4,"1,024","9,596","$135,499 ","$42,417,782 ","$108,852,384 ",$0 ,"$42,417,782 "
22-Nov-85,22-Nov-85,1985,1985,White Nights,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,$0 ,21,"1,064","10,001","$477,539 ","$42,160,849 ","$106,832,560 ",$0 ,"$42,160,849 "
28-Jun-85,28-Jun-85,1985,1985,Pale Rider,Warner Bros.,Western,Original Screenplay,Live Action,Historical Fiction,"$6,900,000 ","1,710","1,710","10,469","$9,119,111 ","$41,410,568 ","$106,267,676 ",$0 ,"$41,410,568 "
7-Dec-84,7-Dec-84,1984,1984,2010,MGM,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,$0 ,"1,126","1,213","10,314","$7,393,361 ","$41,000,000 ","$109,870,727 ",$0 ,"$41,000,000 "
26-Jul-85,26-Jul-85,1985,1985,Pee Wee's Big Adventure,Warner Bros.,Adventure,Original Screenplay,Live Action,Contemporary Fiction,"$7,000,000 ",21,894,"11,309","$99,184 ","$40,940,662 ","$105,061,804 ",$0 ,"$40,940,662 "
20-Jul-84,20-Jul-84,1984,1984,Revenge of the Nerds,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0 ,364,989,"11,111","$1,513,090 ","$40,874,452 ","$110,823,287 ",$0 ,"$40,874,452 "
22-May-85,22-May-85,1985,1985,Brewster's Millions,Universal,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,$0 ,"1,521","1,521","8,368","$9,858,905 ","$40,800,000 ","$104,700,838 ","$5,000,000 ","$45,800,000 "
4-Oct-85,4-Oct-85,1985,1985,Jagged Edge,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"1,125","1,139","13,678","$4,094,091 ","$40,491,165 ","$103,717,605 ",$0 ,"$40,491,165 "
10-Aug-84,10-Aug-84,1984,1984,Red Dawn,MGM/UA Classics,Action,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"1,822","1,822","10,980","$8,239,381 ","$38,900,000 ","$105,469,932 ",$0 ,"$38,900,000 "
29-Jun-84,29-Jun-84,1984,1984,Bachelor Party,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"1,081","1,276","9,498","$4,775,155 ","$38,435,947 ","$104,211,741 ",$0 ,"$38,435,947 "
7-Dec-84,7-Dec-84,1984,1984,City Heat,Warner Bros.,Action,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"1,393","1,655","12,315","$6,301,694 ","$38,348,988 ","$102,900,994 ",$0 ,"$38,348,988 "
26-Oct-84,26-Oct-84,1984,1984,The Terminator,Orion Pictures,Action,Original Screenplay,Live Action,Science Fiction,"$6,400,000 ","1,005","1,112","10,833","$4,020,663 ","$38,019,031 ","$102,800,255 ","$40,000,000 ","$78,019,031 "
28-Jun-85,28-Jun-85,1985,1985,St. Elmo’s Fire,Sony Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$10,000,000 ","1,204","1,207","10,403","$6,128,157 ","$37,800,000 ","$97,002,251 ",$0 ,"$37,800,000 "
10-Jul-85,10-Jul-85,1985,1985,Mad Max Beyond Thunderdome,Warner Bros.,Action,,Live Action,Science Fiction,"$10,000,000 ","1,475","1,475","8,015","$7,283,714 ","$36,230,219 ","$92,973,881 ",$0 ,"$36,230,219 "
4-May-84,4-May-84,1984,1984,Breakin',Cannon,Musical,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"1,069","1,121","9,824","$6,047,686 ","$36,100,000 ","$97,878,268 ",$0 ,"$36,100,000 "
21-Sep-84,21-Sep-84,1984,1984,All of Me,Universal,Comedy,Based on Fiction Book/Short Story,Live Action,Fantasy,$0 ,"1,192","1,200","10,401","$5,803,848 ","$35,243,581 ","$95,556,257 ",$0 ,"$35,243,581 "
4-Oct-85,4-Oct-85,1985,1985,Commando,20th Century Fox,Action,Original Screenplay,Live Action,Contemporary Fiction,"$10,000,000 ","1,495","1,504","10,489","$7,700,015 ","$35,073,978 ","$90,006,736 ",$0 ,"$35,073,978 "
21-Sep-84,21-Sep-84,1984,1984,Places in the Heart,Sony/TriStar,Drama,Original Screenplay,Live Action,Historical Fiction,$0 ,14,868,"12,134","$274,279 ","$34,900,814 ","$93,888,872 ",$0 ,"$34,900,814 "
2-Nov-84,2-Nov-84,1984,1984,The Killing Fields,Warner Bros.,Drama,Original Screenplay,Live Action,Historical Fiction,"$16,000,000 ",1,663,"8,429","$32,181 ","$34,609,720 ","$89,033,506 ",$0 ,"$34,609,720 "
10-Jul-85,10-Jul-85,1985,1985,Silverado,Sony Pictures,Western,Original Screenplay,Live Action,Historical Fiction,"$26,000,000 ","1,168","1,190","10,031","$3,522,897 ","$33,200,000 ","$85,197,740 ",$0 ,"$33,200,000 "
23-Aug-85,23-Aug-85,1985,1985,Teen Wolf,Atlantic,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0 ,"1,416","1,425","11,751","$6,120,348 ","$33,086,611 ","$84,906,767 ",$0 ,"$33,086,611 "
22-Mar-85,22-Mar-85,1985,1985,The Last Dragon,Sony Pictures,Action,Original Screenplay,Live Action,Contemporary Fiction,"$10,000,000 ","1,038","1,039","7,835","$5,254,359 ","$33,000,000 ","$84,684,501 ",$0 ,"$33,000,000 "
13-Apr-84,13-Apr-84,1984,1984,Friday the 13th Part IV: The Final Ch…,Paramount Pictures,Horror,,Live Action,Fantasy,"$2,600,000 ","1,594","1,600","6,670","$11,183,148 ","$32,980,880 ","$89,421,373 ",$0 ,"$32,980,880 "
25-Dec-85,25-Dec-85,1985,1985,Murphy's Romance,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0 ,2,"1,046","7,623","$47,906 ","$30,762,621 ","$75,945,160 ",$0 ,"$30,762,621 "
9-Jul-84,9-Jul-84,1984,1984,The Gods Must Be Crazy,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,$0 ,1,185,"7,387","$8,788 ","$30,031,783 ","$77,652,456 ","$4,300,000 ","$34,331,783 "
