Domestic Release Date,Worldwide Release Date,Year Released (Domestic),Year Released (Worldwide),Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Opening Weekend Theaters,Maximum Theaters,Theatrical Engagements,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office
18-Jun-10,18-Jun-10,2010,2010,Toy Story 3,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$200,000,000 ","4,028","4,028","33,699","$110,307,189 ","$415,004,880 ","$479,175,469 ","$653,874,642 ","$1,068,879,522 "
15-Jul-11,13-Jul-11,2011,2011,Harry Potter and the Deathly Hallows:…,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$125,000,000 ","4,375","4,375","26,153","$169,189,427 ","$381,193,157 ","$437,706,448 ","$960,460,560 ","$1,341,653,717 "
29-Jun-11,29-Jun-11,2011,2011,Transformers: Dark of the Moon,Paramount Pictures,Action,Based on TV,Animation/Live Action,Science Fiction,"$195,000,000 ","4,088","4,107","23,342","$97,852,865 ","$352,390,543 ","$404,826,964 ","$771,403,536 ","$1,123,794,079 "
5-Mar-10,5-Mar-10,2010,2010,Alice in Wonderland,Walt Disney,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$200,000,000 ","3,728","3,739","27,013","$116,101,023 ","$334,191,110 ","$385,865,775 ","$691,300,000 ","$1,025,491,110 "
7-May-10,7-May-10,2010,2010,Iron Man 2,Paramount Pictures,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$170,000,000 ","4,380","4,390","27,079","$128,122,480 ","$312,433,331 ","$360,743,683 ","$308,723,058 ","$621,156,389 "
30-Jun-10,30-Jun-10,2010,2010,The Twilight Saga: Eclipse,Summit Entertainment,Drama,Based on Fiction Book/Short Story,Live Action,Fantasy,"$68,000,000 ","4,468","4,468","24,760","$64,832,191 ","$300,531,751 ","$347,001,804 ","$405,571,077 ","$706,102,828 "
19-Nov-10,18-Nov-10,2010,2010,Harry Potter and the Deathly Hallows:…,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$125,000,000 ","4,125","4,125","27,887","$125,017,372 ","$296,131,568 ","$341,677,546 ","$664,297,789 ","$960,429,357 "
16-Jul-10,16-Jul-10,2010,2010,Inception,Warner Bros.,Thriller/Suspense,Original Screenplay,Animation/Live Action,Science Fiction,"$160,000,000 ","3,792","3,792","31,053","$62,785,337 ","$292,576,195 ","$337,816,073 ","$539,975,766 ","$832,551,961 "
18-Nov-11,18-Nov-11,2011,2011,"The Twilight Saga: Breaking Dawn, Part 1",Summit Entertainment,Drama,Based on Fiction Book/Short Story,Live Action,Fantasy,"$127,500,000 ","4,061","4,066","24,750","$138,122,261 ","$281,287,133 ","$323,118,299 ","$408,132,918 ","$689,420,051 "
26-May-11,26-May-11,2011,2011,The Hangover Part II,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$80,000,000 ","3,615","3,675","21,605","$85,946,294 ","$254,464,305 ","$292,329,105 ","$332,000,000 ","$586,464,305 "
9-Jul-10,9-Jul-10,2010,2010,Despicable Me,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$69,000,000 ","3,476","3,602","33,507","$56,397,125 ","$251,513,985 ","$290,402,804 ","$291,950,588 ","$543,464,573 "
20-May-11,20-May-11,2011,2011,Pirates of the Caribbean: On Stranger…,Walt Disney,Adventure,Based on Theme Park Ride,Live Action,Fantasy,"$379,000,000 ","4,155","4,164","25,026","$90,151,958 ","$241,063,875 ","$276,934,662 ","$804,600,000 ","$1,045,663,875 "
21-May-10,21-May-10,2010,2010,Shrek Forever After,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Digital Animation,Kids Fiction,"$165,000,000 ","4,359","4,386","25,897","$70,838,207 ","$238,736,787 ","$275,651,728 ","$517,507,886 ","$756,244,673 "
26-Mar-10,26-Mar-10,2010,2010,How to Train Your Dragon,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Digital Animation,Fantasy,"$165,000,000 ","4,055","4,060","33,192","$43,732,319 ","$217,581,232 ","$251,224,967 ","$277,289,760 ","$494,870,992 "
29-Apr-11,29-Apr-11,2011,2011,Fast Five,Universal,Action,Based on Factual Book/Article,Live Action,Contemporary Fiction,"$125,000,000 ","3,644","3,793","23,595","$86,198,765 ","$210,031,325 ","$241,284,408 ","$420,132,129 ","$630,163,454 "
16-Dec-11,14-Dec-11,2011,2011,Mission: Impossible—Ghost Protocol,Paramount Pictures,Action,Based on TV,Live Action,Contemporary Fiction,"$145,000,000 ",425,"3,555","21,418","$12,785,204 ","$209,397,903 ","$240,261,401 ","$485,315,327 ","$694,713,230 "
24-Nov-10,24-Nov-10,2010,2010,Tangled,Walt Disney,Musical,Based on Folk Tale/Legend/Fairytale,Digital Animation,Kids Fiction,"$260,000,000 ","3,603","3,603","32,392","$48,767,052 ","$200,821,936 ","$231,682,049 ","$384,905,155 ","$585,727,091 "
24-Jun-11,23-Jun-11,2011,2011,Cars 2,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$200,000,000 ","4,115","4,115","25,790","$66,135,507 ","$191,450,875 ","$219,939,150 ","$368,704,508 ","$560,155,383 "
16-Dec-11,16-Dec-11,2011,2011,Sherlock Holmes: A Game of Shadows,Warner Bros.,Action,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$125,000,000 ","3,703","3,703","24,480","$39,637,079 ","$186,848,418 ","$214,435,626 ","$348,815,025 ","$535,663,443 "
6-May-11,29-Apr-11,2011,2011,Thor,Paramount Pictures,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$150,000,000 ","3,955","3,963","22,538","$65,723,338 ","$181,030,624 ","$207,968,346 ","$268,295,994 ","$449,326,618 "
5-Aug-11,5-Aug-11,2011,2011,Rise of the Planet of the Apes,20th Century Fox,Adventure,Remake,Animation/Live Action,Science Fiction,"$93,000,000 ","3,648","3,691","26,276","$54,806,191 ","$176,760,185 ","$203,062,456 ","$294,226,015 ","$470,986,200 "
22-Jul-11,22-Jul-11,2011,2011,Captain America: The First Avenger,Paramount Pictures,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$140,000,000 ","3,715","3,715","21,349","$65,058,524 ","$176,654,505 ","$202,941,056 ","$193,915,271 ","$370,569,776 "
11-Jun-10,11-Jun-10,2010,2010,The Karate Kid,Sony Pictures,Adventure,Remake,Live Action,Contemporary Fiction,"$40,000,000 ","3,663","3,740","21,331","$55,665,805 ","$176,591,618 ","$203,897,296 ","$175,183,320 ","$351,774,938 "
17-Dec-10,17-Dec-10,2010,2010,Tron: Legacy,Walt Disney,Adventure,Original Screenplay,Live Action,Science Fiction,"$200,000,000 ","3,451","3,451","21,917","$44,026,211 ","$172,062,763 ","$198,430,777 ","$228,000,000 ","$400,062,763 "
22-Dec-10,22-Dec-10,2010,2010,True Grit,Paramount Pictures,Western,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$35,000,000 ","3,047","3,464","29,401","$24,830,443 ","$171,243,005 ","$197,229,086 ","$81,033,923 ","$252,276,928 "
10-Aug-11,10-Aug-11,2011,2011,The Help,Walt Disney,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$25,000,000 ","2,534","3,014","28,827","$26,044,590 ","$169,705,587 ","$194,957,216 ","$43,414,417 ","$213,120,004 "
13-May-11,13-May-11,2011,2011,Bridesmaids,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$32,500,000 ","2,918","2,958","25,608","$26,247,410 ","$169,211,718 ","$194,390,765 ","$120,420,305 ","$289,632,023 "
26-May-11,26-May-11,2011,2011,Kung Fu Panda 2,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$150,000,000 ","3,925","3,952","22,353","$47,656,302 ","$165,249,063 ","$189,838,453 ","$499,588,484 ","$664,837,547 "
1-Apr-10,1-Apr-10,2010,2010,Clash of the Titans,Warner Bros.,Action,Remake,Live Action,Fantasy,"$125,000,000 ","3,777","3,802","22,766","$61,235,105 ","$163,214,888 ","$188,452,175 ","$330,000,000 ","$493,214,888 "
25-Jun-10,25-Jun-10,2010,2010,Grown Ups,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$75,000,000 ","3,534","3,534","24,038","$40,506,564 ","$162,001,186 ","$187,050,802 ","$110,222,244 ","$272,223,430 "
28-Oct-11,28-Oct-11,2011,2011,Puss in Boots,Paramount Pictures,Adventure,Spin-Off,Digital Animation,Kids Fiction,"$130,000,000 ","3,952","3,963","26,358","$34,077,439 ","$149,260,504 ","$171,455,511 ","$405,726,973 ","$554,987,477 "
22-Dec-10,22-Dec-10,2010,2010,Little Fockers,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$100,000,000 ","3,536","3,675","21,912","$30,833,665 ","$148,438,600 ","$171,123,980 ","$162,211,974 ","$310,650,574 "
5-Nov-10,5-Nov-10,2010,2010,Megamind,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$130,000,000 ","3,944","3,949","25,326","$46,016,833 ","$148,415,853 ","$171,340,206 ","$173,471,355 ","$321,887,208 "
3-Jun-11,3-Jun-11,2011,2011,X-Men: First Class,20th Century Fox,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$160,000,000 ","3,641","3,692","17,709","$55,101,604 ","$146,408,305 ","$168,194,158 ","$209,000,000 ","$355,408,305 "
15-Apr-11,8-Apr-11,2011,2011,Rio,20th Century Fox,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$90,000,000 ","3,827","3,842","25,374","$39,225,962 ","$143,619,809 ","$164,990,727 ","$343,900,000 ","$487,519,809 "
29-Jul-11,29-Jul-11,2011,2011,The Smurfs,Sony Pictures,Adventure,Based on Comic/Graphic Novel,Animation/Live Action,Kids Fiction,"$110,000,000 ","3,395","3,427","26,387","$35,611,637 ","$142,614,158 ","$163,835,424 ","$421,135,165 ","$563,749,323 "
26-Nov-10,26-Nov-10,2010,2010,The King’s Speech,Weinstein Co.,Drama,Original Screenplay,Live Action,Dramatization,"$15,000,000 ",4,"2,584","26,313","$355,450 ","$138,797,449 ","$159,584,343 ","$292,023,719 ","$430,821,168 "
16-Dec-11,14-Dec-11,2011,2011,Alvin and the Chipmunks: Chipwrecked,20th Century Fox,Adventure,Based on TV,Animation/Live Action,Kids Fiction,"$80,000,000 ","3,723","3,734","24,878","$23,244,744 ","$133,107,389 ","$152,761,372 ","$215,981,134 ","$349,088,523 "
1-Jul-10,1-Jul-10,2010,2010,The Last Airbender,Paramount Pictures,Adventure,Based on TV,Live Action,Fantasy,"$150,000,000 ","3,169","3,203","14,725","$40,325,019 ","$131,772,187 ","$152,147,604 ","$187,941,694 ","$319,713,881 "
19-Feb-10,19-Feb-10,2010,2010,Shutter Island,Paramount Pictures,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$80,000,000 ","2,991","3,356","21,948","$41,062,440 ","$128,012,934 ","$147,807,072 ","$171,448,848 ","$299,461,782 "
10-Jun-11,10-Jun-11,2011,2011,Super 8,Paramount Pictures,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$50,000,000 ","3,379","3,424","19,362","$35,451,168 ","$127,004,179 ","$145,902,653 ","$130,968,566 ","$257,972,745 "
4-Mar-11,4-Mar-11,2011,2011,Rango,Paramount Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$135,000,000 ","3,917","3,923","24,289","$38,079,323 ","$123,477,607 ","$141,851,327 ","$122,246,993 ","$245,724,600 "
6-Aug-10,6-Aug-10,2010,2010,The Other Guys,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$100,000,000 ","3,651","3,651","23,733","$35,543,162 ","$119,219,978 ","$137,654,496 ","$51,716,492 ","$170,936,470 "
23-Jul-10,23-Jul-10,2010,2010,Salt,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$130,000,000 ","3,612","3,612","18,926","$36,011,243 ","$118,311,368 ","$136,605,397 ","$172,339,126 ","$290,650,494 "
8-Jul-11,8-Jul-11,2011,2011,Horrible Bosses,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$35,000,000 ","3,040","3,134","18,552","$28,302,165 ","$117,538,559 ","$135,028,529 ","$94,879,042 ","$212,417,601 "
15-Oct-10,15-Oct-10,2010,2010,Jackass 3D,Paramount Pictures,Comedy,Based on TV,Live Action,Factual,"$20,000,000 ","3,081","3,139","14,677","$50,353,641 ","$117,229,692 ","$135,355,761 ","$54,456,101 ","$171,685,793 "
17-Jun-11,17-Jun-11,2011,2011,Green Lantern,Warner Bros.,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,"$200,000,000 ","3,816","3,816","15,762","$53,174,303 ","$116,601,172 ","$133,951,664 ","$102,934,320 ","$219,535,492 "
12-Feb-10,12-Feb-10,2010,2010,Valentine's Day,Warner Bros.,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$52,000,000 ","3,665","3,665","16,981","$56,260,707 ","$110,485,654 ","$127,569,617 ","$107,083,674 ","$217,569,328 "
1-Apr-11,1-Apr-11,2011,2011,Hop,Universal,Adventure,Based on Folk Tale/Legend/Fairytale,Animation/Live Action,Kids Fiction,"$63,000,000 ","3,579","3,616","20,044","$37,543,710 ","$108,085,305 ","$124,168,617 ","$80,572,288 ","$188,657,593 "
3-Dec-10,3-Dec-10,2010,2010,Black Swan,Fox Searchlight,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$13,000,000 ",18,"2,407","18,797","$1,443,809 ","$106,954,678 ","$123,148,187 ","$224,312,032 ","$331,266,710 "
14-May-10,14-May-10,2010,2010,Robin Hood,Universal,Action,Based on Folk Tale/Legend/Fairytale,Live Action,Historical Fiction,"$210,000,000 ","3,503","3,505","17,780","$36,063,385 ","$105,487,148 ","$121,798,213 ","$216,971,858 ","$322,459,006 "
10-Dec-10,10-Dec-10,2010,2010,The Chronicles of Narnia: The Voyage …,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$155,000,000 ","3,555","3,555","21,848","$24,005,069 ","$104,386,950 ","$120,426,201 ","$313,800,000 ","$418,186,950 "
21-Oct-11,21-Oct-11,2011,2011,Paranormal Activity 3,Paramount Pictures,Horror,Original Screenplay,Live Action,Fantasy,"$5,000,000 ","3,321","3,329","15,480","$52,568,183 ","$104,028,807 ","$119,508,405 ","$103,011,037 ","$207,039,844 "
13-Aug-10,13-Aug-10,2010,2010,The Expendables,Lionsgate,Action,Original Screenplay,Live Action,Contemporary Fiction,"$82,000,000 ","3,270","3,398","20,041","$34,825,135 ","$103,068,524 ","$119,005,606 ","$165,199,650 ","$268,268,174 "
11-Feb-11,11-Feb-11,2011,2011,Just Go With It,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$80,000,000 ","3,548","3,548","20,711","$30,514,732 ","$103,028,109 ","$118,358,896 ","$111,946,844 ","$214,974,953 "
20-Dec-11,20-Dec-11,2011,2011,The Girl with the Dragon Tattoo,Sony Pictures,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$90,000,000 ","2,914","2,950","16,387","$12,768,604 ","$102,515,793 ","$117,567,146 ","$136,858,177 ","$239,373,970 "
5-Nov-10,5-Nov-10,2010,2010,Due Date,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$65,000,000 ","3,355","3,365","19,769","$32,689,406 ","$100,539,043 ","$116,077,388 ","$111,200,000 ","$211,739,043 "
29-Jul-11,29-Jul-11,2011,2011,Cowboys and Aliens,Universal,Action,Based on Comic/Graphic Novel,Live Action,Science Fiction,"$163,000,000 ","3,750","3,754","18,527","$36,431,290 ","$100,368,560 ","$115,303,603 ","$75,669,764 ","$176,038,324 "
24-Jun-11,24-Jun-11,2011,2011,Bad Teacher,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$19,000,000 ","3,049","3,049","17,398","$31,603,106 ","$100,292,856 ","$115,216,630 ","$115,156,141 ","$215,448,997 "
17-Dec-10,17-Dec-10,2010,2010,Yogi Bear,Warner Bros.,Adventure,Based on TV,Animation/Live Action,Kids Fiction,"$80,000,000 ","3,515","3,515","26,886","$16,411,322 ","$100,246,011 ","$115,545,792 ","$104,528,679 ","$204,774,690 "
11-Feb-11,11-Feb-11,2011,2011,Gnomeo and Juliet,Walt Disney,Comedy,Based on Play,Digital Animation,Fantasy,"$36,000,000 ","2,994","3,037","20,602","$25,356,909 ","$99,967,670 ","$114,843,056 ","$93,770,307 ","$193,737,977 "
14-Jan-11,14-Jan-11,2011,2011,The Green Hornet,Sony Pictures,Action,Based on TV,Live Action,Super Hero,"$110,000,000 ","3,584","3,584","19,320","$33,526,876 ","$98,780,042 ","$113,478,706 ","$130,375,461 ","$229,155,503 "
9-Apr-10,9-Apr-10,2010,2010,Date Night,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$55,000,000 ","3,374","3,380","23,993","$25,207,599 ","$98,711,404 ","$113,974,764 ","$53,557,629 ","$152,269,033 "
1-Oct-10,1-Oct-10,2010,2010,The Social Network,Sony Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,"$40,000,000 ","2,771","2,921","21,652","$22,445,653 ","$96,962,694 ","$111,933,859 ","$127,959,441 ","$224,922,135 "
27-May-10,27-May-10,2010,2010,Sex and the City 2,Warner Bros.,Comedy,Based on TV,Live Action,Contemporary Fiction,"$95,000,000 ","3,445","3,445","13,221","$31,001,870 ","$95,347,692 ","$110,090,934 ","$199,333,086 ","$294,680,778 "
15-Jan-10,15-Jan-10,2010,2010,The Book of Eli,Warner Bros.,Action,Original Screenplay,Live Action,Science Fiction,"$80,000,000 ","3,111","3,111","18,124","$32,789,494 ","$94,835,059 ","$109,499,039 ","$63,915,758 ","$158,750,817 "
10-Dec-10,10-Dec-10,2010,2010,The Fighter,Paramount Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,"$11,000,000 ",4,"2,534","22,354","$300,010 ","$93,617,009 ","$107,817,579 ","$35,645,379 ","$129,262,388 "
17-Sep-10,17-Sep-10,2010,2010,The Town,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$37,000,000 ","2,861","2,935","19,795","$23,808,032 ","$92,186,262 ","$106,440,593 ","$60,380,619 ","$152,566,881 "
28-May-10,28-May-10,2010,2010,Prince of Persia: Sands of Time,Walt Disney,Action,Based on Game,Live Action,Fantasy,"$200,000,000 ","3,646","3,646","17,024","$30,095,259 ","$90,759,676 ","$104,793,487 ","$245,600,000 ","$336,359,676 "
15-Oct-10,15-Oct-10,2010,2010,Red,Summit Entertainment,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,"$60,000,000 ","3,255","3,349","22,086","$21,761,408 ","$90,380,162 ","$104,350,194 ","$106,059,531 ","$196,439,693 "
12-Feb-10,12-Feb-10,2010,2010,Percy Jackson & the Olympians: The Li…,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,"$95,000,000 ","3,356","3,396","19,806","$31,236,067 ","$88,768,303 ","$102,494,196 ","$134,282,571 ","$223,050,874 "
23-Nov-11,23-Nov-11,2011,2011,The Muppets,Walt Disney,Adventure,Based on TV,Live Action,Kids Fiction,"$45,000,000 ","3,440","3,440","19,678","$29,239,026 ","$88,625,922 ","$101,787,233 ","$72,346,000 ","$160,971,922 "
7-Oct-11,7-Oct-11,2011,2011,Real Steel,Walt Disney,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$110,000,000 ","3,440","3,440","20,174","$27,319,677 ","$85,463,309 ","$98,176,211 ","$178,417,032 ","$263,880,341 "
20-Oct-10,20-Oct-10,2010,2010,Paranormal Activity 2,Paramount Pictures,Horror,Original Screenplay,Live Action,Fantasy,"$3,000,000 ","3,216","3,239","14,325","$40,678,424 ","$84,752,907 ","$97,857,379 ","$92,759,125 ","$177,512,032 "
29-Jul-11,29-Jul-11,2011,2011,"Crazy, Stupid, Love",Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$50,000,000 ","3,020","3,020","18,512","$19,104,303 ","$84,351,197 ","$96,902,824 ","$62,791,131 ","$147,142,328 "
11-Mar-11,11-Mar-11,2011,2011,Battle: Los Angeles,Sony Pictures,Action,Original Screenplay,Live Action,Science Fiction,"$70,000,000 ","3,417","3,417","15,219","$35,573,187 ","$83,552,429 ","$95,985,192 ","$129,911,547 ","$213,463,976 "
11-Nov-11,11-Nov-11,2011,2011,Immortals,Relativity,Action,Based on Folk Tale/Legend/Fairytale,Live Action,Fantasy,"$75,000,000 ","3,112","3,120","16,232","$32,206,425 ","$83,504,017 ","$95,925,913 ","$128,058,418 ","$211,562,435 "
16-Nov-11,16-Nov-11,2011,2011,The Descendants,Fox Searchlight,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$20,000,000 ",29,"2,038","16,123","$1,190,096 ","$82,624,961 ","$94,736,539 ","$92,882,839 ","$175,507,800 "
12-Nov-10,12-Nov-10,2010,2010,Unstoppable,20th Century Fox,Action,Based on Real Life Events,Live Action,Dramatization,"$95,000,000 ","3,207","3,261","20,351","$22,688,457 ","$81,562,942 ","$94,162,500 ","$84,157,979 ","$165,720,921 "
13-Aug-10,13-Aug-10,2010,2010,Eat Pray Love,Sony Pictures,Drama,Based on Factual Book/Article,Live Action,Contemporary Fiction,"$60,000,000 ","3,082","3,108","17,998","$23,104,523 ","$80,574,010 ","$93,032,860 ","$126,024,779 ","$206,598,789 "
8-Jul-11,8-Jul-11,2011,2011,Zookeeper,Sony Pictures,Romantic Comedy,Original Screenplay,Animation/Live Action,Fantasy,"$80,000,000 ","3,482","3,482","17,750","$20,065,617 ","$80,360,866 ","$92,318,718 ","$90,444,659 ","$170,805,525 "
5-Feb-10,5-Feb-10,2010,2010,Dear John,Sony Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$25,000,000 ","2,969","3,062","17,020","$30,468,614 ","$80,014,842 ","$92,387,225 ","$62,018,667 ","$142,033,509 "
25-Dec-11,25-Dec-11,2011,2011,War Horse,Walt Disney,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$70,000,000 ","2,376","2,856","17,902","$7,515,402 ","$79,883,359 ","$91,599,428 ","$76,932,170 ","$156,815,529 "
18-Mar-11,18-Mar-11,2011,2011,Limitless,Relativity,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Science Fiction,"$27,000,000 ","2,756","2,838","17,098","$18,907,302 ","$79,249,455 ","$91,041,933 ","$76,315,464 ","$155,564,919 "
4-Nov-11,4-Nov-11,2011,2011,Tower Heist,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$85,000,000 ","3,367","3,370","19,426","$24,025,190 ","$78,046,570 ","$89,654,662 ","$72,376,376 ","$150,422,946 "
21-Dec-11,28-Oct-11,2011,2011,The Adventures of Tintin,Paramount Pictures,Adventure,Based on Comic/Graphic Novel,Digital Animation,Contemporary Fiction,"$130,000,000 ","3,087","3,087","15,104","$9,720,993 ","$77,591,831 ","$89,024,250 ","$296,402,120 ","$373,993,951 "
11-Jun-10,11-Jun-10,2010,2010,The A-Team,20th Century Fox,Action,Based on TV,Live Action,Contemporary Fiction,"$110,000,000 ","3,535","3,544","15,489","$25,669,455 ","$77,222,099 ","$89,162,649 ","$100,019,072 ","$177,241,171 "
23-Jun-10,23-Jun-10,2010,2010,Knight and Day,20th Century Fox,Action,Original Screenplay,Live Action,Contemporary Fiction,"$117,000,000 ","3,098","3,104","14,364","$20,139,985 ","$76,423,035 ","$88,240,034 ","$182,328,335 ","$258,751,370 "
9-Sep-11,9-Sep-11,2011,2011,Contagion,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$60,000,000 ","3,222","3,222","18,970","$22,403,596 ","$75,658,097 ","$86,916,178 ","$61,893,497 ","$137,551,594 "
23-Dec-11,23-Dec-11,2011,2011,We Bought a Zoo,20th Century Fox,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$50,000,000 ","3,117","3,170","18,607","$9,360,434 ","$75,624,550 ","$86,742,833 ","$43,104,523 ","$118,729,073 "
23-Sep-11,23-Sep-11,2011,2011,Moneyball,Sony Pictures,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$50,000,000 ","2,993","3,018","20,867","$19,501,302 ","$75,605,492 ","$86,852,945 ","$35,695,343 ","$111,300,835 "
11-Nov-11,11-Nov-11,2011,2011,Jack and Jill,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$79,000,000 ","3,438","3,438","19,915","$25,003,575 ","$74,158,157 ","$85,182,381 ","$76,361,060 ","$150,519,217 "
23-Nov-11,23-Nov-11,2011,2011,Hugo,Paramount Pictures,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$180,000,000 ","1,277","2,608","17,898","$11,364,505 ","$73,864,507 ","$84,753,719 ","$106,183,277 ","$180,047,784 "
30-Jul-10,30-Jul-10,2010,2010,Dinner for Schmucks,Paramount Pictures,Comedy,Remake,Live Action,Contemporary Fiction,"$69,000,000 ","2,911","3,046","15,007","$23,527,839 ","$73,026,337 ","$84,318,115 ","$13,770,165 ","$86,796,502 "
11-Feb-11,11-Feb-11,2011,2011,Justin Bieber: Never Say Never,Paramount Pictures,Concert/Performance,Based on Real Life Events,Live Action,Factual,"$13,000,000 ","3,105","3,118","13,852","$29,514,054 ","$73,013,910 ","$83,878,530 ","$26,020,215 ","$99,034,125 "
23-Sep-11,23-Sep-11,2011,2011,Dolphin Tale,Warner Bros.,Drama,Based on Real Life Events,Live Action,Dramatization,"$37,000,000 ","3,507","3,515","22,578","$19,152,401 ","$72,286,779 ","$83,042,023 ","$23,781,945 ","$96,068,724 "
21-Jan-11,21-Jan-11,2011,2011,No Strings Attached,Paramount Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$25,000,000 ","3,018","3,050","16,447","$19,652,921 ","$70,662,220 ","$81,176,905 ","$78,565,858 ","$149,228,078 "
17-Jun-11,17-Jun-11,2011,2011,Mr. Poppers's Penguins,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Kids Fiction,"$55,000,000 ","3,339","3,342","15,730","$18,445,355 ","$68,224,452 ","$78,376,391 ","$121,400,000 ","$189,624,452 "
10-Dec-10,10-Dec-10,2010,2010,The Tourist,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$100,000,000 ","2,756","2,756","17,080","$16,472,458 ","$67,631,157 ","$78,012,993 ","$211,100,212 ","$278,731,369 "
19-Mar-10,19-Mar-10,2010,2010,The Bounty Hunter,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$45,000,000 ","3,074","3,118","19,156","$20,686,423 ","$67,061,228 ","$77,430,645 ","$68,747,609 ","$135,808,837 "
4-May-12,25-Apr-12,2012,2012,The Avengers,Walt Disney,Action,Based on Comic/Graphic Novel,Animation/Live Action,Super Hero,"$225,000,000 ","4,349","4,349","37,645","$207,438,708 ","$623,357,910 ","$713,415,897 ","$891,742,301 ","$1,515,100,211 "
20-Jul-12,19-Jul-12,2012,2012,The Dark Knight Rises,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$230,000,000 ","4,404","4,404","32,481","$160,887,295 ","$448,139,099 ","$512,882,806 ","$634,089,008 ","$1,082,228,107 "
