,Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year
66,Harry Potter and the Deathly Hallows:…,2011-07-15,2011,7,437706448,381193157,Adventure,Warner Bros.,25
67,Toy Story 2,1999-11-19,1999,11,437075134,245852179,Adventure,Walt Disney,23
68,Toy Story 4,2019-06-21,2019,6,434038008,434038008,Adventure,Walt Disney,25
69,Top Gun,1986-05-16,1986,5,433527354,179800601,Action,Paramount Pictures,23
70,Shrek,2001-05-18,2001,5,430801615,267655011,Adventure,Dreamworks SKG,25
71,Captain America: Civil War,2016-05-06,2016,5,429785941,408084349,Action,Walt Disney,25
72,Shrek the Third,2007-05-17,2007,5,427322478,322719944,Adventure,Paramount Pictures,25
73,Captain Marvel,2019-03-08,2019,3,426829839,426829839,Action,Walt Disney,25
74,The Matrix Reloaded,2003-05-15,2003,5,425365523,281553689,Action,Warner Bros.,25
75,Crocodile Dundee,1986-09-26,1986,9,423555448,174803506,Comedy,Paramount Pictures,23
76,Transformers,2007-07-02,2007,7,422722785,319246193,Action,Paramount Pictures,25
77,Wonder Woman,2017-06-02,2017,6,419002525,412563408,Action,Warner Bros.,25
78,Jurassic World: Fallen Kingdom,2018-06-22,2018,6,417719764,417719760,Action,Universal,25
79,Saving Private Ryan,1998-07-24,1998,7,416376522,216335085,Drama,Dreamworks SKG,24
80,Despicable Me 2,2013-07-03,2013,7,412431819,368065385,Adventure,Universal,25
81,"The Chronicles of Narnia: The Lion, t…",2005-12-09,2005,12,412335608,291710957,Adventure,Walt Disney,25
82,Harry Potter and the Goblet of Fire,2005-11-18,2005,11,411719381,290201752,Adventure,Warner Bros.,25
83,Harry Potter and the Chamber of Secrets,2002-11-15,2002,11,410227600,262233381,Adventure,Warner Bros.,25
84,Pirates of the Caribbean: At World’…,2007-05-24,2007,5,409712211,309420425,Adventure,Walt Disney,25
85,Jumanji: Welcome to the Jungle,2017-12-20,2017,12,407146634,404508916,Adventure,Sony Pictures,25
86,Transformers: Dark of the Moon,2011-06-29,2011,6,404826964,352390543,Action,Paramount Pictures,25
87,The Fugitive,1993-08-06,1993,8,404615494,183875760,Thriller/Suspense,Warner Bros.,23
88,Iron Man,2008-05-02,2008,5,404223700,318604126,Adventure,Paramount Pictures,25
89,Meet the Fockers,2004-12-22,2004,12,404193819,279167575,Comedy,Universal,25
