,Unnamed: 0,Title,Query_Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year,Awards,Metascore,IMDB,Rotten Tomatoes,Rated,Director,Runtime,Country,index
259,274,The Nutty Professor,The Nutty Professor,1996-06-28,1996,6,265496766,128814019,Comedy,Universal,24,Won 1 Oscar. Another 9 wins & 12 nominations.,62.0,5.6,64%,PG-13,Tom Shadyac,95 min,USA,
260,275,Scary Movie,Scary Movie,2000-07-07,2000,7,265389623,157019771,Comedy,Miramax/Dimension,24,7 wins & 6 nominations.,48.0,6.2,53%,R,Keenen Ivory Wayans,88 min,USA,
261,277,Godzilla,Godzilla,1998-05-19,1998,5,264781066,136314294,Action,Sony Pictures,24,7 wins & 31 nominations.,62.0,6.4,75%,PG-13,Gareth Edwards,123 min,"USA, Japan",
262,278,Oz the Great and Powerful,Oz the Great and Powerful,2013-03-08,2013,3,263070572,234770996,Adventure,Walt Disney,25,6 wins & 31 nominations.,44.0,6.3,57%,PG,Sam Raimi,130 min,USA,
263,279,Alvin and the Chipmunks: The Squeakquel,Alvin and the Chipmunks The Squeakquel,2009-12-23,2009,12,262934105,219614612,Adventure,20th Century Fox,25,3 wins.,41.0,4.5,20%,PG,Betty Thomas,88 min,USA,
264,280,What Lies Beneath,What Lies Beneath,2000-07-21,2000,7,262760705,155464351,Thriller/Suspense,Dreamworks SKG,24,7 wins & 6 nominations.,51.0,6.6,46%,PG-13,Robert Zemeckis,130 min,USA,
265,281,Elf,Elf,2003-11-07,2003,11,261854770,174626840,Adventure,New Line,25,2 wins & 7 nominations.,64.0,6.9,84%,PG,Jon Favreau,97 min,USA,
266,282,Flashdance,Flashdance,1983-04-15,1983,4,261626391,90463574,Drama,Paramount Pictures,23,Won 1 Oscar. Another 10 wins & 14 nominations.,39.0,6.2,36%,R,Adrian Lyne,95 min,USA,
267,283,Trading Places,Trading Places,1983-06-08,1983,6,261442533,90400000,Comedy,Paramount Pictures,23,Nominated for 1 Oscar. Another 3 wins & 4 nominations.,69.0,7.5,87%,R,John Landis,116 min,USA,
268,284,X-Men: Days of Future Past,X-Men Days of Future Past,2014-05-23,2014,5,260835388,233921534,Action,20th Century Fox,25,Nominated for 1 Oscar. Another 16 wins & 47 nominations.,75.0,8.0,90%,PG-13,Bryan Singer,132 min,"USA, UK, Canada",
269,285,The Hunt for Red October,The Hunt for Red October,1990-03-02,1990,3,260584563,120709866,Thriller/Suspense,Paramount Pictures,23,Won 1 Oscar. Another 2 wins & 8 nominations.,58.0,7.6,89%,PG,John McTiernan,135 min,USA,
270,286,Moana,Moana,2016-11-23,2016,11,260531296,248757044,Musical,Walt Disney,25,Nominated for 2 Oscars. Another 20 wins & 86 nominations.,81.0,7.6,95%,PG,"Ron Clements, John Musker, Don Hall(co-director), Chris Williams(co-director)",107 min,USA,
271,287,Hook,Hook,1991-12-11,1991,12,259791920,119654823,Adventure,Sony Pictures,23,Nominated for 5 Oscars. Another 7 wins & 17 nominations.,52.0,6.8,28%,PG,Steven Spielberg,142 min,USA,
272,288,Basic Instinct,Basic Instinct,1992-03-20,1992,3,258432526,117727224,Thriller/Suspense,Sony Pictures,23,Nominated for 2 Oscars. Another 5 wins & 21 nominations.,41.0,7.0,52%,R,Paul Verhoeven,127 min,"France, USA, UK",
273,289,Chicago,Chicago,2002-12-27,2002,12,258399866,170687518,Musical,Miramax,25,Won 6 Oscars. Another 51 wins & 129 nominations.,81.0,7.1,86%,PG-13,Rob Marshall,113 min,"USA, Germany, Canada",
274,290,The Bourne Supremacy,The Bourne Supremacy,2004-07-23,2004,7,258318295,176087450,Thriller/Suspense,Universal,25,5 wins & 22 nominations.,73.0,7.7,82%,PG-13,Paul Greengrass,108 min,"USA, Germany",
275,291,Total Recall,Total Recall,1990-06-01,1990,6,257734262,119394839,Action,Sony Pictures,23,Nominated for 2 Oscars. Another 7 wins & 14 nominations.,57.0,7.5,81%,R,Paul Verhoeven,113 min,"USA, Mexico",
276,292,Ghostbusters II,Ghostbusters II,1989-06-16,1989,6,256848880,112494738,Comedy,Sony Pictures,23,2 wins & 1 nomination.,56.0,6.6,53%,PG,Ivan Reitman,108 min,USA,
277,293,Star Trek Into Darkness,Star Trek Into Darkness,2013-05-16,2013,5,256355910,228778661,Adventure,Paramount Pictures,25,Nominated for 1 Oscar. Another 7 wins & 56 nominations.,72.0,7.7,84%,PG-13,J.J. Abrams,132 min,USA,
278,294,The Birdcage,The Birdcage,1996-03-08,1996,3,255699462,124060553,Comedy,MGM,24,Nominated for 1 Oscar. Another 7 wins & 24 nominations.,72.0,7.1,80%,R,Mike Nichols,117 min,USA,
279,295,Big,Big,1988-06-03,1988,6,254994357,114968774,Comedy,20th Century Fox,23,5 wins & 17 nominations.,71.0,8.1,83%,R,"Joel Coen, Ethan Coen",117 min,"USA, UK",
280,296,Catch Me if You Can,Catch Me if You Can,2002-12-25,2002,12,254258652,164606800,Drama,Dreamworks SKG,25,Nominated for 2 Oscars. Another 16 wins & 44 nominations.,75.0,8.1,96%,PG-13,Steven Spielberg,141 min,"USA, Canada",
281,297,Lethal Weapon 4,Lethal Weapon 4,1998-07-10,1998,7,253379600,130444603,Action,Warner Bros.,24,4 wins & 11 nominations.,37.0,6.6,53%,R,Richard Donner,127 min,USA,
282,298,Die Hard 2,Die Hard 2,1990-07-03,1990,7,253274999,117323878,Action,20th Century Fox,23,1 win & 1 nomination.,67.0,7.2,68%,R,Renny Harlin,124 min,USA,
283,299,National Treasure,National Treasure,2004-11-19,2004,11,252950392,173005002,Adventure,Walt Disney,25,1 win & 9 nominations.,39.0,6.9,46%,PG,Jon Turteltaub,131 min,USA,
284,300,Hitch,Hitch,2005-02-11,2005,2,252669977,177784257,Romantic Comedy,Sony Pictures,25,4 wins & 24 nominations.,58.0,6.6,68%,PG-13,Andy Tennant,118 min,USA,
285,301,The Blair Witch Project,The Blair Witch Project,1999-07-14,1999,7,252029753,140539099,Horror,Artisan,23,19 wins & 26 nominations.,81.0,6.5,87%,R,"Daniel Myrick, Eduardo Sánchez",81 min,USA,
286,302,Die Another Day,Die Another Day,2002-11-22,2002,11,251944803,160942139,Action,MGM,25,Nominated for 1 Golden Globe. Another 6 wins & 35 nominations.,56.0,6.1,57%,PG-13,Lee Tamahori,133 min,"UK, USA",
287,303,Patch Adams,Patch Adams,1998-12-25,1998,12,251890143,135014968,Comedy,Universal,24,Nominated for 1 Oscar. Another 1 win & 7 nominations.,25.0,6.8,22%,PG-13,Tom Shadyac,115 min,USA,
288,304,My Best Friend's Wedding,My Best Friend's Wedding,1997-06-20,1997,6,251690761,126813153,Comedy,Sony Pictures,24,Nominated for 1 Oscar. Another 12 wins & 23 nominations.,50.0,6.3,73%,PG-13,P.J. Hogan,105 min,USA,
289,305,How to Train Your Dragon,How to Train Your Dragon,2010-03-26,2010,3,251224967,217581232,Adventure,Paramount Pictures,25,Nominated for 2 Oscars. Another 25 wins & 60 nominations.,75.0,8.1,99%,PG,"Dean DeBlois, Chris Sanders",98 min,USA,
290,306,Twins,Twins,1988-12-09,1988,12,250701042,111936388,Comedy,Universal,23,Nominated for 1 Golden Globe. Another 4 wins.,53.0,6.1,44%,PG,Ivan Reitman,107 min,USA,
291,307,Ted,Ted,2012-06-29,2012,6,250256893,218665740,Comedy,Universal,25,Nominated for 1 Oscar. Another 13 wins & 27 nominations.,62.0,6.9,69%,R,Seth MacFarlane,106 min,USA,
292,308,Sherlock Holmes,Sherlock Holmes,2009-12-25,2009,12,249678526,209028679,Adventure,Warner Bros.,25,Nominated for 2 Oscars. Another 10 wins & 29 nominations.,57.0,7.6,69%,PG-13,Guy Ritchie,128 min,"USA, Germany, UK, Australia",
293,309,Big Hero 6,Big Hero 6,2014-11-07,2014,11,247741449,222527828,Adventure,Walt Disney,25,Won 1 Oscar. Another 16 wins & 58 nominations.,74.0,7.8,89%,PG,"Don Hall, Chris Williams",102 min,USA,
294,310,Madagascar 3: Europe's Most Wanted,Madagascar 3 Europe's Most Wanted,2012-06-08,2012,6,247654065,216391482,Adventure,Paramount Pictures,25,3 wins & 20 nominations.,60.0,6.8,79%,PG,"Eric Darnell, Tom McGrath, Conrad Vernon",93 min,USA,
295,311,Tomorrow Never Dies,Tomorrow Never Dies,1997-12-19,1997,12,247306528,125304276,Action,MGM,24,Nominated for 1 Golden Globe. Another 6 wins & 9 nominations.,52.0,6.5,57%,PG-13,Roger Spottiswoode,119 min,"UK, USA",
296,312,The Martian,The Martian,2015-10-02,2015,10,246775224,228433663,Thriller/Suspense,20th Century Fox,25,Nominated for 7 Oscars. Another 40 wins & 188 nominations.,80.0,8.0,91%,PG-13,Ridley Scott,144 min,"UK, USA, Hungary, Jordan",
297,313,The Karate Kid,The Karate Kid,1984-06-22,1984,6,246229079,90815558,Action,Sony Pictures,23,Nominated for 1 Oscar. Another 2 wins & 2 nominations.,60.0,7.2,88%,PG,John G. Avildsen,126 min,USA,
298,314,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,2016-11-18,2016,11,246056618,234037575,Adventure,Warner Bros.,25,Won 1 Oscar. Another 14 wins & 53 nominations.,66.0,7.3,74%,PG-13,David Yates,132 min,"UK, USA",
299,315,The Addams Family,The Addams Family,1991-11-22,1991,11,245711577,113502246,Comedy,Paramount Pictures,23,Nominated for 1 Oscar. Another 5 wins & 20 nominations.,57.0,6.9,64%,PG-13,Barry Sonnenfeld,99 min,USA,
300,317,Doctor Strange,Doctor Strange,2016-11-04,2016,11,244918405,232641920,Action,Walt Disney,25,Nominated for 1 Oscar. Another 20 wins & 65 nominations.,72.0,7.5,89%,PG-13,Scott Derrickson,115 min,USA,
301,318,Stuart Little,Stuart Little,1999-12-17,1999,12,244838748,140015224,Adventure,Sony Pictures,23,Nominated for 1 Oscar. Another 7 wins & 13 nominations.,61.0,5.9,67%,PG,Rob Minkoff,84 min,"Germany, USA",
302,319,Star Trek II: The Wrath of Khan,Star Trek II The Wrath of Khan,1982-06-04,1982,6,244522813,78912963,Adventure,Paramount Pictures,23,3 wins & 9 nominations.,67.0,7.7,87%,PG,Nicholas Meyer,113 min,USA,
303,320,The Truman Show,The Truman Show,1998-06-05,1998,6,244004645,125618201,Drama,Paramount Pictures,24,Nominated for 3 Oscars. Another 40 wins & 65 nominations.,90.0,8.1,95%,PG,Peter Weir,103 min,USA,
304,321,Twilight,Twilight,2008-11-21,2008,11,243728922,192769854,Drama,Summit Entertainment,25,29 wins & 15 nominations.,56.0,5.2,49%,PG-13,Catherine Hardwicke,122 min,USA,
