Title,Query_Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year,Awards,Metascore,IMDB,Rotten Tomatoes,Rated,Director,Runtime,Country
No Way Out,No Way Out,1987-08-14,1987,8,82734442,35509515,Thriller/Suspense,Orion Pictures,23,N/A,77,7.1,91%,R,Roger Donaldson,114 min,USA
Escape from New York,Escape from New York,1981-07-10,1981,7,82726334,25244700,Action,Avco Embassy,23,4 nominations.,76,7.2,86%,R,John Carpenter,99 min,USA
Nobody's Fool,Nobody's Fool,1994-12-23,1994,12,82686851,39453238,Drama,Paramount Pictures,23,Nominated for 2 Oscars. Another 5 wins & 8 nominations.,86,7.4,91%,R,Robert Benton,110 min,USA
Paddington,Paddington,2015-01-16,2015,1,82372092,76223578,Adventure,Weinstein Co.,25,Nominated for 1 BAFTA Film Award. Another 3 wins & 6 nominations.,77,7.2,97%,PG,Paul King,95 min,"UK, France, USA, China"
Dead Again,Dead Again,1991-08-23,1991,8,82263473,38016380,Thriller/Suspense,Paramount Pictures,23,Nominated for 1 Golden Globe. Another 1 win & 4 nominations.,66,6.9,83%,R,Kenneth Branagh,107 min,USA
High Road to China,High Road to China,1983-03-18,1983,3,82182203,28416459,Adventure,Warner Bros.,23,2 nominations.,42,6.1,42/100,PG,Brian G. Hutton,105 min,"USA, Yugoslavia, Hong Kong"
Bronco Billy,Bronco Billy,1980-06-11,1980,6,82178495,24265659,Adventure,Warner Bros.,22,2 nominations.,66,6.1,75%,PG,Clint Eastwood,116 min,USA
The Paper,The Paper,1994-03-18,1994,3,82097862,36768310,Comedy,Universal,23,N/A,70,6.6,88%,R,Ron Howard,112 min,USA
Postcards from the Edge,Postcards from the Edge,1990-09-12,1990,9,81953906,37963281,Comedy,Sony Pictures,23,Nominated for 2 Oscars. Another 2 wins & 10 nominations.,71,6.7,84%,R,Mike Nichols,101 min,USA
The Post,The Post,2017-12-22,2017,12,81930931,81903458,Drama,20th Century Fox,25,Nominated for 2 Oscars. Another 19 wins & 112 nominations.,83,7.2,88%,PG-13,Steven Spielberg,116 min,"USA, UK"
Summer School,Summer School,1987-07-22,1987,7,81813922,35114428,Comedy,Paramount Pictures,23,1 nomination.,27,6.6,63%,PG-13,Carl Reiner,97 min,USA
The Mummy,The Mummy,2017-06-09,2017,6,81351307,80101125,Adventure,Universal,25,Nominated for 1 Oscar. Another 5 wins & 23 nominations.,48,7.0,60%,PG-13,Stephen Sommers,124 min,"USA, UK, Morocco"
